city_name,postal_code,price_sqm,region,province,longitude,lattitude
Korbeek-Lo,3360.0,2122.8483983070487,Flandre,Brabant flamand,4.7561775068454,50.86176115
Kortenaken,3470.0,1200.9053658323662,Flandre,Brabant flamand,5.068392495735,50.90566935
Kortenberg,3070.0,2319.1743579205004,Flandre,Brabant flamand,4.536470703962401,50.88326665
Kortessem,3720.0,1361.770048529884,Flandre,Limbourg,5.377000028782098,50.86195255
Kortrijk,8500.0,1726.0672646222079,Flandre,Flandre-Occidentale,3.2784153903743,50.81788085
Kraainem,1950.0,3234.590710097449,Flandre,Brabant flamand,4.4691371,50.8606105
Kruishoutem,9770.0,2140.240288873334,Flandre,Flandre-Orientale,3.5404462768494,50.9200896
Kuringen,3511.0,1620.068823345748,Flandre,Limbourg,5.3052007,50.94393839999999
Kuurne,8520.0,1671.6056551929937,Flandre,Flandre-Occidentale,3.2736322150643,50.86005145
L'ecluse,1320.0,2083.402059264517,Wallonie,Brabant wallon,4.832007900000002,50.7717493
La Calamine,4720.0,1391.849986877252,Wallonie,Liège,6.0133410000000005,50.71549570000001
La Glanerie,7611.0,1752.0,Wallonie,Hainaut,3.3010202000000004,50.52984160000001
La Hulpe,1310.0,2438.1157221487388,Wallonie,Brabant wallon,4.4796542,50.7315053
La Roche-En-Ardenne,6980.0,1178.0035864063966,Wallonie,Luxembourg,5.5701521878995,50.182916023074
Laarne,9270.0,2327.076054563145,Flandre,Flandre-Orientale,3.8504738,51.029657
Lacuisine,6821.0,1127.2727272727273,Wallonie,Luxembourg,5.318262,49.7170106
Laeken,1020.0,2173.477256253009,Bruxelles,Bruxelles-Capitale,4.3487134,50.883392
Lahamaide,7890.0,1284.3283979806722,Wallonie,Hainaut,3.7246735,50.69558
Lambermont,4800.0,1236.8352794089046,Wallonie,Liège,5.191001,49.7051899
Lamontzée,4210.0,1491.001318400628,Wallonie,Liège,5.0899261,50.583727
Landegem,9850.0,2049.994039807337,Flandre,Flandre-Orientale,3.5888091437976004,51.0546369
Landelies,6111.0,1867.1008501084252,Wallonie,Hainaut,4.3496404,50.377822
Langdorp,3201.0,1670.8965979185932,Flandre,Brabant flamand,4.8856989624279015,51.0118664
Lanquesaint,7800.0,1420.8575911381495,Wallonie,Hainaut,3.8042549,50.6534242
Laplaigne,7622.0,745.0,Wallonie,Hainaut,3.4418587625525,50.52296155
Lapscheure,8340.0,2408.305538925878,Flandre,Flandre-Occidentale,3.3523918963854,51.2821424
Latinne,4261.0,1712.3645510835913,Wallonie,Liège,5.1632447,50.6242037
Latour,6761.0,2238.382099827883,Wallonie,Luxembourg,5.5704642,49.5581925
Lauw,3700.0,1362.533235647235,Flandre,Limbourg,5.4147831,50.7399124
Le Mesnil,5670.0,1044.195185400524,Wallonie,Namur,4.6712991,50.030867
Lebbeke,9280.0,1678.5906249098673,Flandre,Flandre-Orientale,4.1307711000000005,51.0004013
Leefdaal,3061.0,1918.4361863259014,Flandre,Brabant flamand,4.5905043649411,50.8419887
Leernes,6142.0,1249.0994397759105,Wallonie,Hainaut,4.3307851,50.3974398
Leffinge,8432.0,2467.4506648787574,Flandre,Flandre-Occidentale,2.8776766,51.1746761
Leignon,5590.0,1768.0147317111127,Wallonie,Namur,5.1102615999999985,50.2687357
Lembeek,1502.0,1905.384879602071,Flandre,Brabant flamand,4.214343058890701,50.7092954
Lembeke,9971.0,2246.4313776846516,Flandre,Flandre-Orientale,3.6346312134542,51.19424
Lendelede,8860.0,1536.6229769990296,Flandre,Flandre-Occidentale,3.2320134658174,50.8850661
Leopoldsburg,3970.0,1394.463655635315,Flandre,Limbourg,5.2638924294785,51.1220584
Les Bons Villers,6210.0,1462.8794377412305,Wallonie,Hainaut,4.4252588130793,50.53495775
Les Bulles,6811.0,1107.638888888889,Wallonie,Luxembourg,5.4263273000000005,49.7031011
Lesdain,7621.0,1007.8125,Wallonie,Hainaut,3.3880963285681003,50.520291
Lessines,7860.0,1387.4944433637893,Wallonie,Hainaut,3.8301131,50.71230360000001
Letterhoutem,9521.0,2324.561403508772,Flandre,Flandre-Orientale,3.8812597,50.92696
Leugnies,6500.0,1168.6544597942327,Wallonie,Hainaut,4.196155,50.224642
Leuven,3000.0,2925.1810759960895,Flandre,Brabant flamand,4.6929903215189,50.8812533
Leuze-En-Hainaut,7900.0,1286.754455282472,Wallonie,Hainaut,3.617736902638,50.599042981582
Liberchies,6238.0,1348.7319347319349,Wallonie,Hainaut,4.4243830944654015,50.5152429
Lichtervelde,8810.0,1829.6767537934188,Flandre,Flandre-Occidentale,3.1422717715338,51.03033065
Liedekerke,1770.0,1842.8212693077423,Flandre,Brabant flamand,4.0860754,50.8711313
Lier,2500.0,2088.7678243741548,Flandre,Anvers,4.5696515999999985,51.131069
Liers,4042.0,2022.1576765866869,Wallonie,Liège,5.563754,50.69338060000001
Ligne,7812.0,1193.7207743547247,Wallonie,Hainaut,3.7054981,50.6222783
Ligney,4254.0,1145.8333333333333,Wallonie,Liège,5.182381,50.66174
Lillois-Witterzée,1428.0,2108.051250720896,Wallonie,Brabant wallon,4.3670582,50.64837429999999
Limbourg,4830.0,1139.3488567039315,Wallonie,Liège,5.9402987000000005,50.6122761
Limelette,1342.0,2793.2373483551473,Wallonie,Brabant wallon,4.5549022761211,50.6851551
Limont,4357.0,1431.7328175135372,Wallonie,Liège,5.3107335,50.6600262
Lincent,4287.0,1533.06320898573,Wallonie,Liège,5.0318166,50.711613
Linkebeek,1630.0,2594.6690191968605,Flandre,Brabant flamand,4.3345641,50.7716092
Lint,2547.0,2198.3564921562993,Flandre,Anvers,4.4922187000000005,51.1268305
Linter,3350.0,1590.2394325955215,Flandre,Brabant flamand,5.0409717,50.8291537
Lippelo,2890.0,1794.846508481023,Flandre,Anvers,4.2519213925908,51.0451478
Lisogne,5501.0,1556.3390092879256,Wallonie,Namur,4.971541200000001,50.28142929999999
Lissewege,8380.0,1906.6665625995074,Flandre,Flandre-Occidentale,3.1991824156265003,51.31711375
Lives-Sur-Meuse,5101.0,2032.2640236687012,Wallonie,Namur,4.9384059263709,50.47132665
Liège,4020.0,1396.2396108543082,Wallonie,Liège,5.5734203,50.6451381
Lodelinsart,6042.0,940.5635884899202,Wallonie,Hainaut,4.448942099999999,50.431853
Loenhout,2990.0,1904.014101012179,Flandre,Anvers,4.6428328,51.3994474
Lombardsijde,8434.0,2243.866539577188,Flandre,Flandre-Occidentale,2.7549864166944,51.15402425
Lommel,3920.0,1652.6095151967222,Flandre,Limbourg,5.3076895,51.2305657
Lommersweiler,4783.0,1346.1538461538462,Wallonie,Liège,6.1651484000000005,50.23892360000001
Lompret,6463.0,914.1414141414141,Wallonie,Hainaut,4.3790041,50.0642146
Loncin,4431.0,1396.2397028906573,Wallonie,Liège,5.502732,50.665153
Lontzen,4710.0,1896.0270475080154,Wallonie,Liège,6.0073447,50.6804233
Lot,1651.0,1930.4193538334587,Flandre,Brabant flamand,4.2729986221482985,50.76514035
Louvain-La-Neuve,1348.0,3159.6744656271494,Wallonie,Brabant wallon,4.614156731721098,50.6741689
Louveigné,4141.0,1638.163374071411,Wallonie,Liège,5.7172477995985,50.5248417
Lovendegem,9920.0,2235.7421702392753,Flandre,Flandre-Orientale,3.6076129,51.0956807
Lubbeek,3210.0,2108.759154854973,Flandre,Brabant flamand,4.8400599406417,50.8821122
Luingne,7700.0,1414.725559147,Wallonie,Hainaut,3.2344942000000003,50.7386186
Lummen,3560.0,1813.1919710538564,Flandre,Limbourg,5.2025589998731,51.00313255
Maarkedal,9680.0,1511.9318621757648,Flandre,Flandre-Orientale,3.642779,50.79730720000001
Maaseik,3680.0,1493.7138413627601,Flandre,Limbourg,5.791733,51.0947181
Mabompré,6663.0,709.1836734693877,Wallonie,Luxembourg,5.7384527,50.098929
Machelen,1830.0,2183.5228893285393,Flandre,Brabant flamand,4.4353614000000015,50.9124219
Macon,6591.0,1166.6666666666667,Wallonie,Hainaut,4.2096331,50.052122
Macquenoise,6593.0,1000.0,Wallonie,Hainaut,4.1802891,49.9755399
Maffe,5374.0,1750.6747638326585,Wallonie,Namur,5.3125869,50.3533462
Maffle,7810.0,2232.280306622412,Wallonie,Hainaut,3.8060162,50.615068
Maillen,5330.0,1480.4675224791183,Wallonie,Namur,4.9699385000000005,50.3775518
Maisières,7020.0,1177.1424643018195,Wallonie,Hainaut,3.962763,50.4901522
Maissin,6852.0,845.0,Wallonie,Luxembourg,5.1805775,49.9651106
Maldegem,9990.0,1756.1523864090243,Flandre,Flandre-Orientale,3.4154538,51.2263133
Malderen,1840.0,1856.7237494743993,Flandre,Brabant flamand,4.2437819,51.0198436
Malempré,6960.0,1432.5094693186913,Wallonie,Luxembourg,5.7155249,50.2816159
Malle,2390.0,1747.3171986554669,Flandre,Anvers,4.7149828000000005,51.3001124
Marbaix,6120.0,1335.7300143631808,Wallonie,Hainaut,4.371393599999998,50.32680720000001
Marcinelle,6001.0,1298.701655131156,Wallonie,Hainaut,4.444253099999999,50.3977245
Marcourt,6987.0,1434.7272752184465,Wallonie,Luxembourg,5.5268172999999985,50.2145396
Mariakerke,9030.0,2305.698408192209,Flandre,Flandre-Orientale,3.6781210300259,51.07311770000001
Marke,8510.0,1771.5093205619391,Flandre,Flandre-Occidentale,3.2336226000000003,50.80704520000001
Martelange,6630.0,1859.3103524257294,Wallonie,Luxembourg,5.737636599999999,49.8313323
Martenslinde,3742.0,1272.2222222222222,Flandre,Limbourg,5.5340486411054,50.8523326
Massenhoven,2240.0,2310.777407366653,Flandre,Anvers,4.635692468301901,51.19902125
Mazenzele,1745.0,2133.6831769076,Flandre,Brabant flamand,4.171763200000001,50.942879100000006
Mechelen,2800.0,2209.6835358248677,Flandre,Anvers,4.471321199996,51.02803335
Mechelen-Aan-De-Maas,3630.0,1739.7879882712587,Flandre,Limbourg,5.6456979557208005,50.9764002
Meensel-Kiezegem,3391.0,1883.08427292323,Flandre,Brabant flamand,4.9173431325348,50.8950541
Meer,2321.0,2344.4472899013017,Flandre,Anvers,4.7372548575575,51.46092495
Meerbeek,3078.0,2525.2543020155927,Flandre,Brabant flamand,4.5972692536847,50.8782935
Meerbeke,9402.0,1615.099774646373,Flandre,Flandre-Orientale,4.0458501718008,50.81972985
Meerhout,2450.0,1683.6155456188749,Flandre,Anvers,5.0772388,51.1317433
Meerle,2328.0,1960.078156617389,Flandre,Anvers,4.805167900000002,51.4743516
Meetkerke,8377.0,2826.9042857315576,Flandre,Flandre-Occidentale,3.1469831971503,51.2356311
Meilegem,9630.0,1908.2684519526836,Flandre,Flandre-Orientale,3.6992879,50.9051876
Meise,1860.0,2312.0081049882247,Flandre,Brabant flamand,4.3287322,50.9341625
Meix-Le-Tige,6747.0,1827.58928243402,Wallonie,Luxembourg,5.7187012,49.6151951
