city_name,postal_code,price_sqm,region,province,longitude,lattitude
L'ecluse,1320.0,1945.0829379108725,Wallonie,Brabant wallon,4.832007900000002,50.7717493
La Calamine,4720.0,1876.2632135306555,Wallonie,Liège,6.0133410000000005,50.71549570000001
La Hulpe,1310.0,3898.2758363985013,Wallonie,Brabant wallon,4.4796542,50.7315053
La Roche-En-Ardenne,6980.0,2069.054091126252,Wallonie,Luxembourg,5.5701521878995,50.182916023074
Laarne,9270.0,2497.341849574226,Flandre,Flandre-Orientale,3.8504738,51.029657
Laeken,1020.0,2484.948365990597,Bruxelles,Bruxelles-Capitale,4.3487134,50.883392
Lambermont,4800.0,1754.0769832875058,Wallonie,Liège,5.191001,49.7051899
Lamontzée,4210.0,1627.0270270270269,Wallonie,Liège,5.0899261,50.583727
Landegem,9850.0,3018.487907818703,Flandre,Flandre-Orientale,3.5888091437976004,51.0546369
Lanquesaint,7800.0,2186.9199731172716,Wallonie,Hainaut,3.8042549,50.6534242
Lapscheure,8340.0,2556.788891433846,Flandre,Flandre-Occidentale,3.3523918963854,51.2821424
Lauw,3700.0,2355.6526166742033,Flandre,Limbourg,5.4147831,50.7399124
Lebbeke,9280.0,2221.3415271275157,Flandre,Flandre-Orientale,4.1307711000000005,51.0004013
Leffinge,8432.0,2107.2213459318614,Flandre,Flandre-Occidentale,2.8776766,51.1746761
Leignon,5590.0,2118.664600444698,Wallonie,Namur,5.1102615999999985,50.2687357
Lembeek,1502.0,2871.9110169491523,Flandre,Brabant flamand,4.214343058890701,50.7092954
Lembeke,9971.0,5035.075630252101,Flandre,Flandre-Orientale,3.6346312134542,51.19424
Lendelede,8860.0,2364.0164094520155,Flandre,Flandre-Occidentale,3.2320134658174,50.8850661
Leopoldsburg,3970.0,2120.1938449764707,Flandre,Limbourg,5.2638924294785,51.1220584
Les Bons Villers,6210.0,2932.7158743166156,Wallonie,Hainaut,4.4252588130793,50.53495775
Lessines,7860.0,2070.5281882107374,Wallonie,Hainaut,3.8301131,50.71230360000001
Leuven,3000.0,5298.080939233654,Flandre,Brabant flamand,4.6929903215189,50.8812533
Liberchies,6238.0,1421.0526315789473,Wallonie,Hainaut,4.4243830944654015,50.5152429
Lichtervelde,8810.0,2414.422944616443,Flandre,Flandre-Occidentale,3.1422717715338,51.03033065
Liedekerke,1770.0,2104.8551713679103,Flandre,Brabant flamand,4.0860754,50.8711313
Lier,2500.0,2585.0843179669073,Flandre,Anvers,4.5696515999999985,51.131069
Lillois-Witterzée,1428.0,1875.0,Wallonie,Brabant wallon,4.3670582,50.64837429999999
Limbourg,4830.0,1094.6256901259596,Wallonie,Liège,5.9402987000000005,50.6122761
Limont,4357.0,2020.5882352941176,Wallonie,Liège,5.3107335,50.6600262
Lincent,4287.0,2066.6666666666665,Wallonie,Liège,5.0318166,50.711613
Linkebeek,1630.0,3110.728562217924,Flandre,Brabant flamand,4.3345641,50.7716092
